id,symbol,name
128049249,SideWinder,Sidewinder
128049255,Eagle,Eagle
128049261,Hauler,Hauler
128049267,Adder,Adder
128049273,Viper,Viper MkIII
128049279,CobraMkIII,Cobra MkIII
128049285,Type6,Type-6 Transporter
128049291,Dolphin,Dolphin
128049297,Type7,Type-7 Transporter
128049303,Asp,Asp Explorer
128049309,Vulture,Vulture
128049315,Empire_Trader,Imperial Clipper
128049321,Federation_Dropship,Federal Dropship
128049327,Orca,Orca
128049333,Type9,Type-9 Heavy
128049339,Python,Python
128049345,BelugaLiner,Beluga Liner
128049351,FerDeLance,Fer-de-Lance
128049363,Anaconda,Anaconda
128049369,Federation_Corvette,Federal Corvette
128049375,Cutter,Imperial Cutter
128671217,DiamondBack,Diamondback Scout
128671223,Empire_Courier,Imperial Courier
128671831,DiamondBackXL,Diamondback Explorer
128672138,Empire_Eagle,Imperial Eagle
128672145,Federation_Dropship_MkII,Federal Assault Ship
128672152,Federation_Gunship,Federal Gunship
128672255,Viper_MkIV,Viper MkIV
128672262,CobraMkIV,Cobra MkIV
128672269,Independant_Trader,Keelback
128672276,Asp_Scout,Asp Scout
128785619,Type9_Military,Type-10 Defender
128816567,Krait_MkII,Krait MkII
128816574,TypeX,Alliance Chieftain
128816588,TypeX_3,Alliance Challenger
